# L=8 N=8  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Tue Mar 24 20:41:18 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.055000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.060000  0.00000071  0.00000057  0.00019722  0.00015695  0.000000  0.0000  177.1
0.065000  0.00000096  0.00000054  0.00022692  0.00012718  0.000000  0.0000  123.6
0.070000  0.00000338  0.00000164  0.00068901  0.00033473  0.000000  0.0000  322.6
0.075000  0.00001543  0.00000419  0.00274255  0.00074412  0.000002  0.0001  468.4
0.080000  0.00002695  0.00000540  0.00421022  0.00084344  0.000003  0.0002  462.7
0.085000  0.00004096  0.00000507  0.00566735  0.00070090  0.000005  0.0003  254.2
0.090000  0.00007767  0.00000764  0.00958417  0.00094304  0.000009  0.0006  303.7
0.095000  0.00016803  0.00001239  0.01859866  0.00137027  0.000018  0.0013  336.8
0.100000  0.00031305  0.00001842  0.03131422  0.00184161  0.000034  0.0025  384.9
0.102500  0.00039383  0.00002054  0.03750367  0.00194882  0.000044  0.0032  370.0
0.105000  0.00045585  0.00002027  0.04129808  0.00182878  0.000050  0.0036  329.6
0.107500  0.00054847  0.00002249  0.04758321  0.00194555  0.000061  0.0044  353.4
0.110000  0.00071794  0.00002560  0.05946397  0.00211601  0.000079  0.0057  366.4
0.112500  0.00089562  0.00003085  0.07080408  0.00242422  0.000098  0.0072  349.9
0.115000  0.00107830  0.00003446  0.08158843  0.00258270  0.000120  0.0086  376.8
0.117500  0.00122714  0.00003690  0.08905535  0.00264867  0.000137  0.0098  354.4
0.120000  0.00155334  0.00003904  0.10780509  0.00268476  0.000172  0.0124  368.1
0.122500  0.00185075  0.00004496  0.12333838  0.00298454  0.000205  0.0148  373.3
0.125000  0.00222620  0.00004474  0.14262038  0.00284604  0.000250  0.0178  355.0
0.127500  0.00249402  0.00004841  0.15373274  0.00296704  0.000280  0.0200  346.1
0.130000  0.00292949  0.00005704  0.17356085  0.00332749  0.000330  0.0234  371.4
0.132500  0.00345214  0.00005323  0.19664232  0.00297235  0.000390  0.0276  353.2
0.135000  0.00393519  0.00006064  0.21653158  0.00323997  0.000447  0.0315  342.0
0.137500  0.00439756  0.00006766  0.23247149  0.00349574  0.000500  0.0352  353.0
0.140000  0.00502101  0.00007042  0.25640263  0.00347353  0.000573  0.0402  362.3
0.142500  0.00566882  0.00007356  0.28036250  0.00351112  0.000652  0.0454  360.2
