# L=16 N=16  Task2 precise: canonical N=L
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00005058  0.00001516  0.00898550  0.00269020  0.000002  0.0008  3782.2
0.100000  0.00088424  0.00005207  0.08816155  0.00514347  0.000036  0.0141  2046.9
0.125000  0.00624447  0.00011406  0.38951482  0.00661717  0.000266  0.0999  1740.7
0.150000  0.02215790  0.00018715  0.90565068  0.00586987  0.001101  0.3545  1405.9
0.175000  0.05105769  0.00020843  1.37400049  0.00349011  0.003227  0.8169  850.7
0.200000  0.08919726  0.00018779  1.62311883  0.00360807  0.007342  1.4272  427.8
0.225000  0.13077466  0.00014332  1.67698369  0.00318954  0.013711  2.0924  197.9
0.250000  0.17250541  0.00012351  1.65184029  0.00258758  0.022313  2.7601  100.1
0.275000  0.21313108  0.00009098  1.59101176  0.00186237  0.032946  3.4101  57.7
0.300000  0.25194695  0.00006977  1.51955950  0.00138082  0.045304  4.0312  36.3
0.325000  0.28912283  0.00006609  1.43729171  0.00114783  0.059131  4.6260  25.2
0.350000  0.32401571  0.00005976  1.35821435  0.00084067  0.073938  5.1843  18.6
0.375000  0.35683641  0.00006074  1.27839152  0.00071112  0.089471  5.7094  14.5
0.400000  0.38784609  0.00004995  1.20358811  0.00054895  0.105526  6.2055  11.8
0.425000  0.41703943  0.00004703  1.13181247  0.00048968  0.121857  6.6726  10.0
0.450000  0.44455268  0.00004073  1.06623378  0.00042891  0.138302  7.1128  8.6
0.475000  0.47046915  0.00004541  1.00551215  0.00034774  0.154706  7.5275  7.7
0.500000  0.49484649  0.00004096  0.95026769  0.00030104  0.170905  7.9175  7.1
0.550000  0.53980116  0.00003828  0.85166487  0.00025706  0.202650  8.6368  6.2
0.600000  0.58029552  0.00003490  0.76917747  0.00020967  0.233074  9.2847  5.7
0.700000  0.65041792  0.00003050  0.63904699  0.00015406  0.289601  10.4067  5.3
0.800000  0.70912441  0.00002975  0.54134560  0.00012504  0.339933  11.3460  5.1
0.900000  0.75940434  0.00002941  0.46605833  0.00009594  0.384676  12.1505  5.0
1.000000  0.80284789  0.00002686  0.40604070  0.00007414  0.424324  12.8456  5.0
1.500000  0.95602533  0.00002860  0.23199153  0.00003778  0.567636  15.2964  5.0
2.000000  1.04963443  0.00002515  0.15129138  0.00002324  0.655274  16.7942  5.0
3.000000  1.15921482  0.00002675  0.07948312  0.00001295  0.755464  18.5474  5.0
5.000000  1.26206879  0.00002671  0.03330683  0.00000511  0.845752  20.1931  5.0
10.000000  1.35079478  0.00002715  0.00946031  0.00000141  0.919897  21.6127  5.0
