# L=8 N=8  Task2 peak region: T=0.200~0.300 step 0.001 (new points only)
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.201000  0.04474509  0.00015784  1.08524177  0.00275140  0.006470  0.3580  240.6
0.202000  0.04547113  0.00017355  1.09787121  0.00310324  0.006624  0.3638  237.0
0.203000  0.04705030  0.00015831  1.11700456  0.00282582  0.006886  0.3764  238.9
0.204000  0.04757092  0.00016197  1.12554116  0.00287427  0.007014  0.3806  228.6
0.205000  0.04891617  0.00015689  1.13741663  0.00269672  0.007232  0.3913  227.8
0.206000  0.05021977  0.00018633  1.15518151  0.00303445  0.007469  0.4018  227.6
0.207000  0.05089951  0.00017876  1.16342810  0.00286540  0.007614  0.4072  225.8
0.208000  0.05255776  0.00017309  1.18584717  0.00280102  0.007914  0.4205  223.5
0.209000  0.05377388  0.00017275  1.19842463  0.00277307  0.008143  0.4302  222.6
0.210000  0.05462796  0.00016226  1.20570359  0.00243305  0.008306  0.4370  221.6
0.211000  0.05610078  0.00016650  1.22213815  0.00240807  0.008577  0.4488  215.7
0.212000  0.05740717  0.00017152  1.23680563  0.00263193  0.008829  0.4593  215.6
0.213000  0.05832995  0.00017389  1.24594079  0.00249830  0.009020  0.4666  207.9
0.214000  0.06029401  0.00015899  1.26765720  0.00213099  0.009371  0.4824  207.3
0.215000  0.06078620  0.00017544  1.27240115  0.00236095  0.009511  0.4863  205.7
0.216000  0.06236502  0.00015881  1.29011969  0.00222050  0.009826  0.4989  202.1
0.217000  0.06392810  0.00016751  1.30597771  0.00220681  0.010123  0.5114  204.4
0.218000  0.06518157  0.00017784  1.31695214  0.00234282  0.010381  0.5215  195.4
0.219000  0.06653707  0.00018324  1.32797678  0.00235566  0.010649  0.5323  194.6
0.220000  0.06735609  0.00018285  1.33492349  0.00232247  0.010842  0.5388  189.0
0.221000  0.06928827  0.00016795  1.35365609  0.00210629  0.011228  0.5543  188.3
0.222000  0.07028560  0.00017995  1.36128597  0.00212133  0.011444  0.5623  185.9
0.223000  0.07177784  0.00018003  1.37285625  0.00223550  0.011750  0.5742  184.7
0.224000  0.07325821  0.00018239  1.38520728  0.00230871  0.012063  0.5861  182.8
0.226000  0.07593614  0.00016112  1.40961656  0.00197962  0.012673  0.6075  176.8
0.227000  0.07723970  0.00018429  1.41711423  0.00209397  0.012948  0.6179  175.0
0.228000  0.07897511  0.00018233  1.43187994  0.00188825  0.013336  0.6318  171.6
0.229000  0.07997024  0.00017314  1.43619282  0.00206552  0.013566  0.6398  168.2
0.230000  0.08157971  0.00018161  1.44903050  0.00191848  0.013921  0.6526  166.5
