# L=32 N=512  Task3: canonical N=L^2/2 (half-filling)
# therm=200000  nmeas=2000000  nbin=200  seed=20260318
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  24.24804688  0.00000000  0.00000000  0.00000000  0.000026  12415.0000  0.5
0.075000  24.24827433  0.00004177  0.03572778  0.00572333  0.000034  12415.1165  12806.6
0.100000  24.24983825  0.00007780  0.10867990  0.00519593  0.000102  12415.9172  5575.8
0.125000  24.25263367  0.00005770  0.12896109  0.00368783  0.000352  12417.3484  1028.3
0.150000  24.25603523  0.00003651  0.14023966  0.00208954  0.000936  12419.0900  235.0
0.175000  24.25973570  0.00003068  0.14853194  0.00135129  0.001993  12420.9847  95.5
0.200000  24.26353339  0.00002323  0.15810379  0.00106670  0.003609  12422.9291  42.4
0.225000  24.26745428  0.00002049  0.15822071  0.00076929  0.005831  12424.9366  24.3
0.250000  24.27149976  0.00001650  0.16038087  0.00062016  0.008721  12427.0079  15.5
0.275000  24.27549790  0.00001491  0.16172386  0.00047371  0.012167  12429.0549  11.0
0.300000  24.27953634  0.00001304  0.15993926  0.00038789  0.016228  12431.1226  8.5
0.325000  24.28351471  0.00001279  0.15953317  0.00036623  0.020746  12433.1595  7.2
0.350000  24.28749787  0.00001222  0.15830623  0.00030788  0.025722  12435.1989  6.4
0.375000  24.29141664  0.00001282  0.15665090  0.00027876  0.031053  12437.2053  6.0
0.400000  24.29535841  0.00001259  0.15623397  0.00025626  0.036751  12439.2235  5.5
0.425000  24.29924071  0.00001292  0.15439382  0.00023942  0.042711  12441.2112  5.3
0.450000  24.30307327  0.00001154  0.15320507  0.00023384  0.048868  12443.1735  5.3
0.475000  24.30690634  0.00001120  0.15164469  0.00021215  0.055243  12445.1360  5.1
0.500000  24.31069035  0.00001157  0.15066663  0.00019050  0.061743  12447.0735  5.2
0.550000  24.31815586  0.00001108  0.14835071  0.00019528  0.075044  12450.8958  5.1
0.600000  24.32551449  0.00001157  0.14564471  0.00017483  0.088618  12454.6634  5.0
0.700000  24.33988160  0.00001189  0.14131518  0.00015233  0.115829  12462.0194  5.0
0.800000  24.35378754  0.00001201  0.13723226  0.00015174  0.142497  12469.1392  5.0
0.900000  24.36731272  0.00001324  0.13344156  0.00014897  0.168208  12476.0641  5.0
1.000000  24.38048057  0.00001358  0.13001776  0.00013580  0.192747  12482.8061  5.1
1.500000  24.44156765  0.00001791  0.11505198  0.00011753  0.297163  12514.0826  5.0
2.000000  24.49614214  0.00002000  0.10368717  0.00010482  0.376308  12542.0248  5.0
3.000000  24.59055791  0.00002978  0.08625121  0.00008481  0.487364  12590.3656  5.0
5.000000  24.73796800  0.00004006  0.06319534  0.00005965  0.616193  12665.8396  5.0
10.000000  24.97249013  0.00005686  0.03479300  0.00003477  0.758742  12785.9149  5.0
