# L=1024 N=1024  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Wed Mar 25 01:51:37 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000967  0.00000682  0.00383087  0.00268842  0.000000  0.0099  48745.2
0.055000  0.00003716  0.00001283  0.01181820  0.00393687  0.000000  0.0381  49337.0
0.060000  0.00017403  0.00003009  0.05244565  0.00997164  0.000000  0.1782  49823.0
0.065000  0.00030273  0.00003415  0.05929758  0.00646436  0.000000  0.3100  49579.3
0.070000  0.00082702  0.00004941  0.10978490  0.00866608  0.000000  0.8469  49338.5
0.075000  0.00106748  0.00006027  0.14721913  0.01398651  0.000001  1.0931  48989.5
0.080000  0.00227058  0.00007624  0.24455589  0.01614092  0.000002  2.3251  47870.9
0.085000  0.00385474  0.00008537  0.32678105  0.02294391  0.000006  3.9473  45485.6
0.090000  0.00522933  0.00008198  0.37175556  0.01988226  0.000010  5.3548  42727.7
0.095000  0.00735136  0.00007822  0.43547610  0.02070659  0.000019  7.5278  36898.1
0.100000  0.00955786  0.00006749  0.49362343  0.01651281  0.000032  9.7872  31009.9
0.102500  0.01092256  0.00006180  0.54439646  0.01402523  0.000041  11.1847  27652.3
0.105000  0.01239812  0.00005907  0.59139015  0.01390536  0.000052  12.6957  24850.9
0.107500  0.01386876  0.00005384  0.62094444  0.01318331  0.000064  14.2016  21012.9
0.110000  0.01539224  0.00006008  0.67265916  0.01379078  0.000079  15.7616  18852.2
0.112500  0.01721916  0.00005034  0.69618004  0.01208850  0.000098  17.6324  15266.5
0.115000  0.01892921  0.00005335  0.75528642  0.01271226  0.000118  19.3835  13559.9
0.117500  0.02078129  0.00004458  0.78697093  0.01202567  0.000142  21.2800  10706.2
0.120000  0.02283226  0.00004402  0.81341434  0.01060903  0.000171  23.3802  9078.8
0.122500  0.02490045  0.00004060  0.85447600  0.00999790  0.000203  25.4981  8094.3
0.125000  0.02705682  0.00004157  0.87530584  0.00932625  0.000240  27.7062  6385.2
0.127500  0.02926801  0.00003698  0.91444500  0.00914941  0.000281  29.9704  5351.5
0.130000  0.03156106  0.00004150  0.95803447  0.00982401  0.000327  32.3185  4841.0
0.132500  0.03405272  0.00003687  0.99338006  0.00876689  0.000382  34.8700  4174.3
0.135000  0.03657914  0.00003262  1.03155739  0.00868443  0.000441  37.4570  3526.9
0.137500  0.03908742  0.00003127  1.04086843  0.00771924  0.000504  40.0255  2993.6
0.140000  0.04183805  0.00003278  1.07537177  0.00795935  0.000579  42.8422  2598.8
0.142500  0.04455812  0.00003190  1.10543526  0.00718249  0.000659  45.6275  2373.4
