# L=256 N=256  Large-scale thermodynamic integration
# Generated: Mon Mar 23 21:11:35 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.062500  0.00000006  0.00000006  0.00001600  0.00001600  0.000000  0.0000  80.0
0.075000  0.00013424  0.00004821  0.02304467  0.00802055  0.000000  0.0344  42558.5
0.087500  0.00179099  0.00018567  0.25038660  0.03045819  0.000005  0.4585  44156.4
0.100000  0.00752970  0.00028673  0.58063002  0.04020087  0.000031  1.9276  32090.3
0.105000  0.01062702  0.00014973  0.62214639  0.01734494  0.000053  2.7205  26434.3
0.110000  0.01406727  0.00012256  0.66178385  0.01348907  0.000084  3.6012  19079.9
0.115000  0.01735170  0.00010114  0.75014834  0.01205989  0.000123  4.4420  13981.6
0.120000  0.02111094  0.00009491  0.79630937  0.01051523  0.000175  5.4044  9656.6
0.125000  0.02548206  0.00009055  0.90042749  0.01183284  0.000248  6.5234  7470.8
0.130000  0.03006374  0.00008353  0.95944929  0.00982784  0.000339  7.6963  5295.4
0.135000  0.03511687  0.00006415  1.01027542  0.00882148  0.000456  8.9899  3803.2
0.140000  0.04038027  0.00006895  1.08500807  0.00797148  0.000598  10.3374  2747.3
0.145000  0.04590563  0.00006426  1.14191144  0.00747893  0.000770  11.7518  2060.9
0.150000  0.05180871  0.00005782  1.20272801  0.00708874  0.000979  13.2630  1675.3
0.155000  0.05802575  0.00005823  1.26562639  0.00676320  0.001228  14.8546  1321.4
0.160000  0.06435528  0.00004989  1.29027881  0.00540681  0.001513  16.4750  1037.3
0.165000  0.07104354  0.00004994  1.34274630  0.00507316  0.001852  18.1871  862.7
0.170000  0.07778700  0.00004560  1.39378343  0.00513695  0.002231  19.9135  706.6
0.175000  0.08479749  0.00004308  1.43232032  0.00463784  0.002667  21.7082  576.2
0.180000  0.09211808  0.00004018  1.45182336  0.00458260  0.003166  23.5822  481.9
0.185000  0.09948093  0.00004245  1.48841591  0.00452754  0.003721  25.4671  405.4
0.190000  0.10702203  0.00003586  1.52045654  0.00377847  0.004340  27.3976  347.1
0.195000  0.11461969  0.00003446  1.53846316  0.00372038  0.005021  29.3426  290.4
0.200000  0.12235924  0.00003438  1.55553420  0.00354871  0.005772  31.3240  251.1
0.205000  0.13020650  0.00002934  1.57456532  0.00304802  0.006594  33.3329  221.2
0.210000  0.13818042  0.00003477  1.59017485  0.00315816  0.007493  35.3742  193.1
0.215000  0.14615255  0.00003421  1.60249646  0.00264843  0.008463  37.4151  166.3
0.220000  0.15413570  0.00002927  1.61098152  0.00293535  0.009501  39.4587  148.3
0.225000  0.16227217  0.00002964  1.61145381  0.00251774  0.010626  41.5417  130.3
0.230000  0.17032325  0.00002761  1.62302446  0.00251597  0.011816  43.6028  117.0
0.235000  0.17846400  0.00002591  1.62275750  0.00215600  0.013092  45.6868  104.7
0.240000  0.18651375  0.00002725  1.62614731  0.00236816  0.014430  47.7475  93.5
0.245000  0.19467272  0.00002444  1.61885167  0.00208925  0.015859  49.8362  84.7
0.250000  0.20273008  0.00002446  1.61992769  0.00196865  0.017350  51.8989  76.6
0.255000  0.21078208  0.00002315  1.61511859  0.00178383  0.018917  53.9602  69.1
0.260000  0.21891534  0.00002337  1.60545056  0.00179065  0.020578  56.0423  63.2
0.265000  0.22687189  0.00002251  1.60097124  0.00168772  0.022285  58.0792  57.2
0.270000  0.23484577  0.00002156  1.59047230  0.00162315  0.024067  60.1205  52.2
0.275000  0.24276560  0.00002154  1.57764551  0.00152678  0.025917  62.1480  48.3
0.280000  0.25067203  0.00002015  1.56791935  0.00150701  0.027842  64.1720  44.6
0.285000  0.25849103  0.00002112  1.55821639  0.00132186  0.029825  66.1737  41.1
0.290000  0.26622495  0.00001843  1.54417354  0.00128904  0.031862  68.1536  38.2
0.295000  0.27391610  0.00002034  1.53239296  0.00140287  0.033965  70.1225  35.3
0.300000  0.28155185  0.00001668  1.51946075  0.00119284  0.036129  72.0773  33.0
0.305000  0.28911091  0.00001801  1.50723051  0.00107088  0.038344  74.0124  30.7
