# L=512 N=512  Large-scale thermodynamic integration
# Generated: Mon Mar 23 21:13:24     2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00001357  0.00001046  0.00539195  0.00414656  0.000000  0.0070  32077.3
0.062500  0.00009159  0.00002888  0.02234766  0.00673390  0.000000  0.0469  47440.3
0.075000  0.00101820  0.00008893  0.14846543  0.01362936  0.000001  0.5213  47991.7
0.087500  0.00401785  0.00014161  0.28945923  0.02377268  0.000008  2.0571  44264.5
0.100000  0.00922997  0.00019654  0.53050789  0.03965929  0.000033  4.7257  31635.0
0.105000  0.01170642  0.00008622  0.59136961  0.01427929  0.000051  5.9937  25304.6
0.110000  0.01504377  0.00007936  0.63635437  0.01231070  0.000082  7.7024  17739.1
0.115000  0.01841891  0.00007116  0.75305742  0.01251145  0.000120  9.4305  13854.2
0.120000  0.02218454  0.00006131  0.78652883  0.01015137  0.000171  11.3585  9063.4
0.125000  0.02657816  0.00006067  0.89563805  0.01079783  0.000244  13.6080  6416.3
0.130000  0.03108627  0.00005436  0.95352837  0.00869622  0.000332  15.9162  4833.3
0.135000  0.03614520  0.00005177  1.03213174  0.00922403  0.000447  18.5063  3678.8
0.140000  0.04133814  0.00004438  1.10005713  0.00768846  0.000586  21.1651  2627.6
0.145000  0.04692894  0.00004777  1.15132782  0.00760551  0.000757  24.0276  2157.3
0.150000  0.05281226  0.00004235  1.19124085  0.00673204  0.000960  27.0399  1582.3
0.155000  0.05892597  0.00003591  1.25007672  0.00622736  0.001201  30.1701  1261.2
0.160000  0.06530770  0.00003764  1.29761588  0.00582698  0.001486  33.4375  1022.4
0.165000  0.07195013  0.00003412  1.34776808  0.00613226  0.001816  36.8385  861.0
0.170000  0.07874549  0.00003172  1.39324582  0.00507890  0.002194  40.3177  706.6
0.175000  0.08580326  0.00002958  1.42508595  0.00438656  0.002626  43.9313  564.5
0.180000  0.09305753  0.00002872  1.46350011  0.00476116  0.003117  47.6455  481.1
0.185000  0.10036159  0.00003040  1.49141942  0.00432377  0.003660  51.3851  401.8
0.190000  0.10793287  0.00002545  1.52217535  0.00385687  0.004275  55.2616  339.3
0.195000  0.11556092  0.00002539  1.53576094  0.00344037  0.004950  59.1672  300.5
0.200000  0.12326956  0.00002425  1.56220738  0.00362830  0.005690  63.1140  251.8
0.205000  0.13110733  0.00002130  1.57348595  0.00306647  0.006504  67.1270  219.3
0.210000  0.13900855  0.00002384  1.59295952  0.00288106  0.007387  71.1724  194.1
