# L=256 N=256  280-point thermodynamic integration
# nmeas=100000000 therm=2000000 nbin=200
# Generated: Tue Mar 24 21:41:41 CST 2026
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.055000  0.00000420  0.00000420  0.00138747  0.00138746  0.000000  0.0011  38372.0
0.060000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.065000  0.00001667  0.00000903  0.00392894  0.00212225  0.000000  0.0043  40494.2
0.070000  0.00017483  0.00004482  0.03408282  0.00835778  0.000000  0.0448  46366.2
0.075000  0.00034682  0.00006493  0.05979639  0.01050480  0.000001  0.0888  46232.3
0.080000  0.00104131  0.00010680  0.14860554  0.01285246  0.000002  0.2666  45265.5
0.085000  0.00190403  0.00013961  0.24124757  0.01531816  0.000005  0.4874  44157.0
0.090000  0.00364831  0.00015455  0.35052806  0.01376302  0.000010  0.9340  41447.4
0.095000  0.00537881  0.00016645  0.43203055  0.01503337  0.000018  1.3770  38016.5
0.100000  0.00773445  0.00014860  0.53148845  0.01654042  0.000031  1.9800  32337.9
0.102500  0.00924469  0.00013785  0.55993003  0.01588733  0.000041  2.3666  28860.3
0.105000  0.01090942  0.00013741  0.57382054  0.01560863  0.000054  2.7928  24687.4
0.107500  0.01237280  0.00012673  0.62316986  0.01485234  0.000067  3.1674  21736.5
0.110000  0.01387582  0.00012543  0.70232983  0.02057363  0.000083  3.5522  20782.9
0.112500  0.01555900  0.00011502  0.73866226  0.01595427  0.000102  3.9831  16983.5
0.115000  0.01715375  0.00010177  0.76436839  0.01366996  0.000121  4.3914  14517.6
0.117500  0.01917158  0.00010359  0.79688599  0.01398021  0.000147  4.9079  12314.0
0.120000  0.02135988  0.00009119  0.82437045  0.01251089  0.000179  5.4681  9522.3
0.122500  0.02329013  0.00009610  0.87063120  0.01138294  0.000210  5.9623  8747.2
0.125000  0.02555178  0.00008659  0.89238447  0.01031130  0.000249  6.5413  7191.6
0.127500  0.02764890  0.00008544  0.94584907  0.01030788  0.000290  7.0781  5972.6
0.130000  0.03013380  0.00007581  0.93602856  0.00974929  0.000340  7.7143  4732.5
0.132500  0.03259894  0.00006781  0.98158057  0.00847492  0.000395  8.3453  4221.8
0.135000  0.03518494  0.00007724  1.03631870  0.00957186  0.000458  9.0073  3885.8
0.137500  0.03767256  0.00007226  1.05559518  0.00807786  0.000523  9.6442  3034.8
0.140000  0.04031799  0.00007042  1.08953072  0.00895660  0.000597  10.3214  2767.9
0.142500  0.04326343  0.00006313  1.11557167  0.00754513  0.000684  11.0754  2390.0
0.145000  0.04596236  0.00006091  1.15092914  0.00767402  0.000772  11.7664  2133.3
0.147500  0.04872179  0.00006032  1.17469105  0.00718108  0.000867  12.4728  1908.5
0.150000  0.05191158  0.00005843  1.20077284  0.00664663  0.000982  13.2894  1599.7
0.152500  0.05475518  0.00005761  1.21988317  0.00662865  0.001093  14.0173  1455.0
0.155000  0.05795735  0.00005387  1.25131270  0.00596657  0.001225  14.8371  1311.6
0.157500  0.06114455  0.00005713  1.27519749  0.00610126  0.001364  15.6530  1159.0
0.160000  0.06434810  0.00005344  1.29549001  0.00556876  0.001514  16.4731  1024.0
0.162500  0.06766963  0.00004914  1.32684087  0.00596711  0.001676  17.3234  941.8
0.165000  0.07098657  0.00005197  1.34687186  0.00560692  0.001848  18.1726  865.5
0.167500  0.07433746  0.00004688  1.36686695  0.00518055  0.002032  19.0304  758.7
0.170000  0.07790621  0.00004794  1.38122293  0.00466696  0.002237  19.9440  679.8
0.172500  0.08137035  0.00004148  1.39833683  0.00507656  0.002446  20.8308  618.6
0.175000  0.08486975  0.00004511  1.42187104  0.00465798  0.002670  21.7267  574.8
0.177500  0.08849669  0.00004095  1.43807053  0.00497715  0.002912  22.6552  514.6
0.180000  0.09207323  0.00004327  1.46417848  0.00451037  0.003165  23.5707  486.4
0.182500  0.09574487  0.00003973  1.48122837  0.00424563  0.003433  24.5107  444.5
0.185000  0.09948698  0.00004448  1.49109318  0.00374894  0.003721  25.4687  402.4
0.187500  0.10321628  0.00004008  1.50296011  0.00374372  0.004021  26.4234  384.3
0.190000  0.10700789  0.00003742  1.51106610  0.00381952  0.004340  27.3940  340.3
0.192500  0.11085612  0.00003548  1.53292039  0.00364887  0.004677  28.3792  314.3
0.195000  0.11460119  0.00003554  1.54065289  0.00339424  0.005021  29.3379  294.5
0.197500  0.11852921  0.00003647  1.54879128  0.00375675  0.005394  30.3435  277.0
0.200000  0.12236684  0.00003606  1.55853155  0.00340505  0.005774  31.3259  257.3
